id;customer_id;customer_name;customer_tel;vehicle_number;brand_id;brand_name;model;millage;manufacture_year;last_service_date;next_service_date;description;lmu;lmd
1;15549;whole boo compassionate;upwardly randomize;yet;3943;by;humidity;24946.66;tricky brook nervously;2025-04-06T09:33:24;2025-04-05T20:14:26;jealous ripe incidentally;25806;2025-04-05T18:17:43
2;28842;astonishing ill-fated times;oof;culture;4640;interestingly yum adult;soon reporter grim;13127.17;even than mantua;2025-04-05T19:29:39;2025-04-05T13:49:05;meh lest entice;10992;2025-04-06T10:21:31
3;11447;when gymnast inasmuch;whose viciously;attest trick near;32244;guest witty bracelet;however silently;1196.93;cute ownership;2025-04-05T20:56:06;2025-04-06T09:11:39;sugary ugly mid;5600;2025-04-06T04:06:00
4;7394;improbable hmph;er minor;exaggerate;13649;whoa terribly;mothball unsteady;29078.62;delirious option;2025-04-06T04:03:08;2025-04-05T19:39:17;carelessly deliberately chapel;17217;2025-04-05T15:37:44
5;4121;obesity cuddly above;duster;wisely;20355;gadzooks;incidentally;2247.54;yet;2025-04-06T10:18:19;2025-04-05T20:33:32;before;28687;2025-04-06T07:28:51
6;28275;dress;and;down ultimately ascertain;2471;brilliant;yuck out acquire;5398.27;bathhouse lovingly;2025-04-06T08:34:00;2025-04-05T14:48:03;pale motivate towards;23101;2025-04-06T05:26:54
7;27642;whisper;powerfully;where;30808;leading;salty as mostly;8992.72;queasily sleepily psst;2025-04-05T21:39:05;2025-04-05T12:28:50;swing when;23972;2025-04-05T18:44:24
8;13181;shyly turret;sharply ha crooked;frightfully yearly;30280;mean spork sans;since gallery evil;13776.09;until;2025-04-06T11:20:20;2025-04-05T19:28:25;besides weekly;14545;2025-04-05T13:36:53
9;29447;airport;brr;through why;5521;lest tenderly;obsess boo;7152.47;upbeat;2025-04-05T22:24:03;2025-04-05T15:54:40;duh amend case;21470;2025-04-05T13:31:54
10;30624;gastropod as by;insist topsail limply;neglect retool trial;25498;male upwardly yippee;writ;1803.3;freezing blacken browse;2025-04-05T13:52:02;2025-04-05T21:02:06;vastly;18062;2025-04-05T19:35:00
