id;code;invoicedate;createddate;jobid;quoteid;orderid;delieverydate;autojobsrepid;autojobsrepname;delieverfrom;customerid;customername;customeraddress;deliveryaddress;subtotal;totaltax;totaldiscount;nettotal;message;lmu;lmd;paidamount;amountowing;isactive;locationid;locationcode;referencecode;createdbyid;createdbyname;autocarecompanyid
1;aside deployment mindless;2024-10-04T05:17:03;2024-10-04T00:50:51;30370;8771;4277;2024-10-03T17:57:44;5966;since rubric kindly;oh;7850;gust;yuck;weakly or pivot;21756.62;5618.73;19720.04;19949.92;oh;29090;2024-10-03T15:12:24;25716.57;28645.52;true;6169;thankfully;yawningly impartial bar;25006;shoot busily;12659
2;but curry the;2024-10-03T13:27:28;2024-10-03T23:05:49;22231;8222;10843;2024-10-03T12:32:54;2418;lest but;whenever industrialize international;23142;who shush;very willing worth;shakily embarrassment roughly;16292.55;27176.03;7439.33;12399.21;knitting;16751;2024-10-04T01:36:23;14432.96;14122.38;true;20604;coaxingly;oh;26978;geez unhealthy;6072
3;carefully quickly blah;2024-10-04T03:43:10;2024-10-03T08:33:10;8349;12542;7395;2024-10-03T08:27:06;26069;hence;debit consequently even;304;healthily whose rust;dishearten quirkily;er;14932.95;23692.21;22122.12;16734.96;mystify mid;7128;2024-10-04T08:06:22;10011.29;22700.28;true;9513;defiantly tusk troubled;reluctantly;8051;unselfish around conclude;27269
4;amid;2024-10-04T04:13:13;2024-10-04T01:18:32;25300;22510;5502;2024-10-04T08:05:49;23291;showy thoroughly;positively respray;8454;joyfully key;as;so with;10912.39;19910.89;27594.28;3191.27;vacantly yogurt last;20669;2024-10-03T23:15:51;18784.74;12917.62;false;24767;concerning gift vastly;pasta monocle soap;28247;finally;6783
5;seriously lest ew;2024-10-04T03:54:25;2024-10-04T03:09:55;26235;12728;12185;2024-10-03T12:37:15;18522;hmph;aw;1027;since vainly tool;upon valley however;out;32283.32;12287.5;16379.86;28962.09;cruelty gallivant tasty;14608;2024-10-03T20:15:01;12856.35;14222.44;true;13250;who;pro;10697;failing overheard caring;30642
6;alienated across;2024-10-03T08:25:26;2024-10-03T11:26:37;1259;17624;555;2024-10-03T09:17:58;18456;freely newsstand unexpectedly;politely huzzah;4437;hype when seafood;almost;clamor toward;29615.53;16459.41;28524.35;18985.52;bob verbally darn;18314;2024-10-03T21:27:59;10390.49;313.53;false;30231;oof;at potentially;29758;brook knottily;28835
7;ouch;2024-10-03T09:56:12;2024-10-03T18:37:25;26523;11026;2761;2024-10-04T05:20:36;17959;since;warped reconsideration;13616;indeed newsletter;given newsstand;expatiate;16986.43;7941.49;15911.45;5022.66;oh um oh;3058;2024-10-04T07:52:25;12041.25;24279.31;false;6012;apud;excepting notwithstanding;3527;ack ouch duh;684
8;before;2024-10-03T22:57:49;2024-10-03T21:49:28;1166;17594;18265;2024-10-04T07:58:21;13867;especially;nervously;9250;unsightly seal notwithstanding;boohoo which;unexpectedly;7764.93;28281.15;11104.64;22807.78;or;18250;2024-10-03T22:11:03;12563.17;24603.39;true;16202;quicker incidentally hmph;opposite unlike;19385;duh;27722
9;slope ack the;2024-10-03T19:08:54;2024-10-03T08:46:11;137;23589;15322;2024-10-03T18:27:18;15902;yowza silently unto;sans;27321;artistic;necklace tedious within;trivial;31849.94;31373.45;22340.49;16053.91;er;4991;2024-10-04T06:59:25;1020.74;20781.8;false;28860;zowie closely impure;indeed boo evince;24959;over;21722
10;below winged aw;2024-10-04T02:00:46;2024-10-03T22:03:35;12623;26295;26066;2024-10-03T10:25:43;28321;giant;turret refine vice;26758;than;rear modulo mid;formal keenly;27380.19;1405.26;15407.69;9672.82;justly;24304;2024-10-03T13:20:46;27702.34;9914.15;false;2078;amid qua;thoughtfully;9499;mid inquisitively during;16669
