id;lineid;paymentamount;totalreceiptamount;checkqueamount;checkqueno;checkquedate;checkqueexpiredate;bankname;bankid;bankbranchname;bankbranchid;creditcardno;creditcardamount;reference;otherdetails;lmu;lmd;termid;termname;accountno;accountnumber;chequereturndate;isdeposit;depositeddate;chequestatuschangeddate;returnchequesttledate;chequestatusid;is_pd_cheque;depositdate;accountid;accountcode;bankdepositbankname;bankdepositbankid;bankdepositbankbranchname;bankdepositbankbranchid;returnchequefine;companybankid;isbankreconciliation
1;18119;5779.97;12110.45;16756.3;from always;2025-02-18T08:23:14;2025-02-18T08:41:16;after;18072;arrogantly reassuringly;26778;milestone gadzooks delicious;2135.55;after toward as;incidentally overload;mid whoa;2025-02-17T22:27:38;312;swiftly drat luck;wholly swelter;edge eventually;2025-02-18T01:23:32;true;2025-02-18T12:13:24;2025-02-17T17:42:40;2025-02-17T17:56:30;6749;false;2025-02-17T16:48:03;19219;or;finally bleach;20455;clamp which;27564;22786.05;14537;true
2;10659;2064.98;6269.46;9603.75;duh;2025-02-18T12:30:53;2025-02-18T01:45:12;so pace;25435;yet;8579;brr pulp astride;19267.76;hygienic vivaciously terribly;anxiously sushi;incandescence notwithstanding whenever;2025-02-18T03:09:29;19460;politely unnecessarily;overtrain lucky make;rebuff gloss;2025-02-18T11:00:00;true;2025-02-18T05:22:33;2025-02-17T16:59:59;2025-02-17T21:54:55;12219;true;2025-02-18T07:42:11;29284;adolescent;despite odd;5865;ew;879;32176.87;28028;true
3;11174;3377.8;8093.26;13623.33;interestingly ride on;2025-02-18T10:56:51;2025-02-18T04:32:34;always whether foot;20804;pro;1639;mostly yearn;14857.31;colour;scaffold showy;experienced gosh;2025-02-17T14:38:35;23078;ouch revoke;decouple because;esteemed hasty;2025-02-18T04:10:14;false;2025-02-17T15:30:22;2025-02-18T00:56:46;2025-02-17T17:55:25;26268;true;2025-02-18T03:07:39;31864;phew;oof nifty wide-eyed;18178;around;13024;23898.49;16469;true
4;28654;2806.92;24733.06;24437.36;armchair strong;2025-02-17T21:37:56;2025-02-17T23:12:27;despite woot;10043;phew er;16347;arraign despite;18755.41;willfully intently;deduct;boohoo;2025-02-18T05:35:03;26373;till;boo elastic;incidentally split;2025-02-18T10:20:26;false;2025-02-17T16:52:23;2025-02-17T20:04:15;2025-02-17T19:40:20;9615;true;2025-02-18T06:48:08;6438;between hence aw;so atop degenerate;8740;notwithstanding vivacious throughout;32697;17214.88;30586;false
5;1727;11247.05;24637.73;32593.24;readmit wonderfully;2025-02-17T14:35:51;2025-02-17T19:03:19;inwardly across;1553;inexperienced although westernize;24869;including round;23869.57;than;now bah clone;upwardly save ack;2025-02-17T16:32:23;9066;for furthermore gallery;enchanting because ack;quicker times;2025-02-18T02:33:44;false;2025-02-17T23:57:00;2025-02-17T20:31:58;2025-02-17T17:05:01;13801;true;2025-02-18T02:04:00;13592;characterization unsightly zowie;or defiantly;29874;apropos despite;15201;3151.33;13755;false
6;29791;17208.68;18857.48;1605.59;ack geez big;2025-02-17T23:54:44;2025-02-18T10:43:57;summarise council;17519;since;7832;whereas;1090.09;upon;pleasant inwardly edge;pointless;2025-02-18T10:03:17;27665;tenderly cautiously;concerning chime owlishly;gah engender honestly;2025-02-18T04:59:02;false;2025-02-17T19:23:15;2025-02-18T12:41:31;2025-02-18T00:10:25;21079;true;2025-02-18T13:35:06;23084;prance;vainly warmhearted well-lit;5541;finally;25824;25858.73;26936;false
7;10932;3447.58;9342.09;27774.45;neatly quadruple which;2025-02-17T17:36:22;2025-02-18T06:37:51;voluminous primary aha;16391;widow;21451;eek instead;30421.61;eek save negative;aha;swordfish minus against;2025-02-18T05:18:55;27108;draft pace powerless;yet cappelletti;across instead scholarship;2025-02-17T17:24:08;true;2025-02-17T17:59:15;2025-02-18T09:18:25;2025-02-17T19:08:33;17489;false;2025-02-18T07:05:02;11680;smoke metabolise fellow;oh;7479;what;18931;14396.97;28033;false
8;22947;23869.31;11375.95;31678.66;hence vainly calculating;2025-02-18T03:13:37;2025-02-18T06:22:00;admired than squiggly;17867;while underplay;5645;hm uniform;27670.74;but ack yippee;meanwhile;perfectly present;2025-02-18T11:10:57;31345;beneath;unwilling;quinoa well paintwork;2025-02-18T00:30:42;false;2025-02-17T23:39:48;2025-02-18T08:35:12;2025-02-18T05:47:59;6871;false;2025-02-18T09:26:08;6417;er;gadzooks;1595;husband doubtfully;25034;8367.43;22286;true
9;24049;30705.47;13613.7;7897.81;athwart;2025-02-18T07:57:22;2025-02-17T23:42:14;mmm;18758;yowza because;8209;obediently er at;6342.12;ah;lest agreeable limited;abaft;2025-02-18T11:50:57;3289;petticoat condense corporation;mill qua;gratefully boo within;2025-02-18T07:35:13;false;2025-02-17T22:17:21;2025-02-18T05:03:18;2025-02-17T14:52:24;6453;true;2025-02-18T09:11:08;14653;knavishly notwithstanding;sandy;8012;into;5405;18098.63;20753;false
10;13625;27913.39;22788.62;17542.91;yum;2025-02-18T02:13:05;2025-02-17T14:02:43;sparkling chops instead;20661;dramatic colorless pish;10857;spectacles narrate across;23389.57;illiterate pfft;which object hence;fold yellow unused;2025-02-18T01:04:56;18781;freely;dispose;to;2025-02-17T20:18:44;false;2025-02-18T07:32:32;2025-02-17T17:45:23;2025-02-17T19:04:14;30320;false;2025-02-18T12:21:06;15987;newsprint;lest simple rough;2769;too;7985;31758.02;9365;true
