id;original_invoice_id;code;invoice_date;created_date;quote_id;order_id;delivery_date;sales_rep_id;sales_rep_name;deliver_from;customer_id;customer_name;customer_address;delivery_address;sub_total;total_tax;total_discount;net_total;message;lmu;lmd;paid_amount;amount_owing;is_active;location_id;location_code;reference_code;created_by_id;created_by_name;auto_care_charges;auto_care_job_id;vehicle_no;nbt_amount;vat_amount;dummy_commission;commission_paid_date;paid_commission;paid_by;original_invoice_code
1;7963;what;2025-01-30T00:42:14;2025-01-30T02:31:01;5176;10189;2025-01-29T17:36:46;19908;whoever than besides;brochure undergo sew;25596;beyond tattered;alligator variable think;duh rubbery rarely;7937.83;23207.96;4345.05;12399.67;since;7440;2025-01-29T07:33:08;30897.14;14061.13;false;7079;summer hourly;cellar sarcastic petal;24302;aw leap questionably;1236.19;10813;sting hmph;22704.05;11471.83;2192.34;2025-01-29T20:00:57;24065.08;25954;someplace
2;30510;pecan daddy;2025-01-29T12:14:00;2025-01-29T09:18:45;24689;4384;2025-01-29T20:25:21;8793;when prickly yet;till nor since;6825;softly into kick;aw;behind whoa;18539.64;1026.69;3124.24;7366.24;whale past;6202;2025-01-29T08:10:03;19723.18;20122.95;true;31197;athwart tributary;sprinkles collaborate omelet;32266;that;597.79;11473;simplistic given;24751.67;988.27;17174.21;2025-01-29T08:28:03;27880.2;29079;definitive daughter
3;28167;mortar unsightly regular;2025-01-30T05:56:56;2025-01-30T06:36:21;8711;24070;2025-01-30T00:19:43;11761;upon ack;medium boo pish;12068;knuckle of;behind gee;reasonable;24282.9;25977.26;22873.06;8552.19;consequently measly for;9363;2025-01-30T06:54:09;1919.8;9657.9;false;30408;rosin segregate;majestic;12839;fine weakly clamor;11995.37;6298;slake fork ouch;7923.65;20394.55;27003.75;2025-01-29T23:05:02;2537.78;13016;toward fraternise towards
4;24300;finally;2025-01-30T02:35:24;2025-01-29T23:56:22;21508;14060;2025-01-29T15:01:57;11806;finally;colonialism ick yawningly;16266;down;runny above;even;26922.97;16257.48;5923.8;4814.1;whereas after accelerator;6892;2025-01-29T20:31:32;5193.49;19423.57;true;31791;gee;conceptualize;30706;before;32309.08;13213;reorient overstay;7275.65;5791.03;28105.86;2025-01-30T04:34:29;13423.63;18537;off gadzooks
5;25978;unwelcome;2025-01-29T14:24:38;2025-01-29T17:47:21;1084;20531;2025-01-29T14:40:55;24874;given off ah;yippee criminal;927;pants sweetly whereas;whether;sleepy;7742.16;24291.85;12479.13;7654.69;sun;5473;2025-01-30T00:08:36;11678.64;18029.11;true;32504;webbed;worth;3836;frantically atop;3457.28;2401;greatly morning during;14854.98;3772.67;30879.09;2025-01-30T06:31:26;10310.73;6037;whenever defiantly
6;24993;how;2025-01-30T02:47:17;2025-01-29T22:07:31;1699;12812;2025-01-29T15:20:25;7130;blissfully mesh ultimate;ouch;14878;besides rawhide;eventually;blowgun scrape;2943.02;16123.09;1868.78;17182.63;incidentally evince pfft;23718;2025-01-29T13:32:57;26339.93;4153.07;true;5765;impassioned;pasta guacamole;6691;consistency;20735.44;22078;carefully ack;13007.12;23910.93;25751.24;2025-01-30T00:03:23;3525.17;6864;sensitize
7;23981;palatable suckle;2025-01-29T23:51:47;2025-01-29T11:33:10;2206;25093;2025-01-29T07:09:56;1181;dial unlike;repeatedly;28512;whose ew;confirm;than unnecessarily uselessly;15713.84;5982.63;11136.56;7157.03;since density for;22678;2025-01-29T20:20:16;20628.64;2924.31;true;13279;which atop;a youthfully intellect;5231;zowie pro;25221.41;7453;mid instead recompense;28749.65;3505.91;26544.49;2025-01-30T06:02:33;14034.3;14555;yet
8;31541;ignorance;2025-01-29T14:44:32;2025-01-29T11:04:07;5480;12367;2025-01-29T23:58:27;3305;moor forearm;our intensely;7963;quietly friendly;icebreaker;fooey;667.19;29023.48;1127.81;24412.16;dependency;13750;2025-01-30T00:57:46;7935.99;4151.02;true;26333;kettledrum apropos;brr pfft;3878;unethically than teriyaki;22525.25;29374;ah;11124.45;3290.65;32708;2025-01-29T13:35:30;13068.28;16477;pepper
9;12944;monthly;2025-01-29T21:16:52;2025-01-29T23:30:07;32119;21948;2025-01-30T03:56:54;24875;mummify reproach;until leading;31421;expensive courageously blacken;plus;vulgarise;29607.01;14034.09;1837.43;9517.45;for youthfully less;24805;2025-01-29T10:48:32;25420.94;32590.41;true;20458;uh-huh boohoo claw;until quaver politely;22969;blink;8407.39;24870;phooey over;22565.42;2674.71;28754.67;2025-01-29T16:31:44;12602.36;8714;bashfully against
10;2315;apricot while separate;2025-01-29T23:31:50;2025-01-30T03:26:53;31484;15128;2025-01-30T00:22:22;11822;anti overtrain;angrily;31233;hence gah common;well-off;assist best-seller viciously;1782.85;23249.15;8462.24;31091.58;whose congregate yahoo;11329;2025-01-29T15:38:57;32456.86;20148.29;true;30056;dial;bah hence though;1062;excepting spiteful till;6361.38;24206;thin ick pish;25247.29;14084.84;31159.11;2025-01-30T03:33:23;18029.16;25296;as pfft artistic
