id;code;invoicedate;createddate;quoteid;orderid;delieverydate;salesrepid;salesrepname;delieverfrom;customerid;customername;customeraddress;deliveryaddress;subtotal;totaltax;totaldiscount;nettotal;message;lmu;lmd;paidamount;amountowing;isactive;locationid;locationcode;referencecode;createdbyid;createdbyname;autocarecharges;autocarejobid;vehicleno;nextmeter;currentmeter;remarks;hasdummybill;dummybillid;dummybillamount;dummycommision;isserviceinvoice;nbtamount;vatamount;autocarecompanyid;iscompanyinvoice;invcanceldate;invcancelby;isvatinvoice;paymenttype;pendingamount;advancepayment;discountcode
1;obedient speedily usually;2024-10-02T16:33:28;2024-10-02T09:33:40;19777;974;2024-10-02T14:05:53;9096;er;ick unusual under;6718;better;outside suburban apropos;pace;4664.67;15899.5;28638.07;584.05;delightfully truly tighten;15631;2024-10-03T04:15:55;10337.92;22241.58;false;21472;gah;meanwhile confound;21610;whoever who seafood;5992.89;8052;collaborate;soon fluff;not eyebrow aw;option where;true;3732;23146.55;12454.37;false;23936.12;24726;8512;true;2024-10-03T03:52:21;15129;true;agile unlearn;29604.77;21444.84;shrilly truthfully whether
2;yuck;2024-10-03T01:40:50;2024-10-03T00:30:16;20406;15376;2024-10-02T13:15:44;2700;decouple;meaningfully till discontinue;12556;woefully ham monasticism;anxiously where blossom;urgently;22056.41;27748.2;26155.14;6947.44;reassuringly oh;11466;2024-10-03T04:07:40;7379.78;22969.5;false;19731;milestone;abaft heavenly;15831;smuggle wherever;29755.14;20184;alert gut;slushy shyly switch;ascribe snuggle hunger;consequently inwardly furthermore;false;29161;26155.78;18085.65;true;24643.28;8407.74;1106;false;2024-10-02T17:41:32;1527;false;lazily zowie;16882.52;13392.82;amongst
3;however whoever yum;2024-10-02T13:54:58;2024-10-02T15:32:30;24071;8660;2024-10-03T01:26:32;614;anenst;spiffy joyously;4877;squirm plus instantly;delightfully after gee;damaged warmly;5122.93;272.02;24072.32;16430.14;extract queasy space;19902;2024-10-02T18:10:21;29381.02;18395.6;false;16649;pear psst;gee phew yippee;24389;import;13575.67;29774;sauerkraut finally governance;consequently kindly aha;scruple;whose;true;6575;27898.44;4975.27;true;28633.46;19706.84;15922;false;2024-10-02T19:31:58;6361;true;abaft pressure;29151.61;9477.92;essential
4;an ornate;2024-10-02T13:34:41;2024-10-02T12:26:31;14819;8357;2024-10-03T01:22:03;3404;unto notwithstanding vaguely;sushi;30470;how splay;heating;until blissfully;16446;15612.39;395.56;3423.78;carefully wilted relaunch;5717;2024-10-02T16:59:46;27793.26;21024.62;false;15186;until tense ultimate;behind;1137;sore amongst per;7405.55;23077;buttery;exacerbate bashfully;that;norm joyous rubric;true;161;21196.84;9374.12;false;15335.45;25667.48;24170;false;2024-10-02T20:42:25;20306;true;window abacus beside;32696.61;12776.3;likewise circa wordy
5;low bah vice;2024-10-02T23:41:25;2024-10-03T02:55:05;4856;7315;2024-10-03T01:21:53;30553;haircut;nor unethically;3368;heavy instead forenenst;jet contractor;sometimes;20635.3;11411.19;28930.91;20757.76;whoever;5331;2024-10-02T08:40:10;27914.91;18839.2;false;9447;goodwill till reproachfully;than;5805;leading yieldingly deprave;30481.97;26266;red hearten blue;knotty but;lecture;although video decisive;false;21494;5045.12;1337.62;true;19802.51;8553.22;7441;true;2024-10-02T14:45:32;8753;true;past;23887.63;21672.73;ack from skateboard
6;meh however;2024-10-02T07:01:07;2024-10-03T05:55:32;29859;23916;2024-10-03T03:03:17;132;times amidst aha;fuzzy;11468;ack sorrowful;unto meh;maintainer knickers;21383.84;14695.58;5224.31;29034.53;abseil whoa;21131;2024-10-02T21:16:52;32531;25168.59;false;16208;spice at strait;barring;5838;above poorly weary;19126.91;30973;circa before;upon upright excluding;record although than;apostrophize platypus quaintly;true;9894;28907.98;22054.98;true;183.13;7783.59;14066;false;2024-10-02T11:47:11;6370;true;bore;11376.92;23220.78;whose behest
7;duh;2024-10-02T20:22:14;2024-10-02T11:46:03;6585;31588;2024-10-02T07:27:18;18934;scrap supposing;aha;14458;ack gadzooks;zowie incomplete;emotional mmm tensely;14120.32;11044.24;23668.57;12504.08;wilt;13392;2024-10-03T06:26:20;2765.88;32372.16;true;30363;tall up;uh-huh;32365;until;27385.04;29732;eek harp phooey;ack how;speedily afore;object towards pluck;true;5116;3231.33;9975.33;true;32252.88;8419.45;30501;true;2024-10-03T06:17:28;30580;true;actually commonly;560.16;14095.3;vacantly drat
8;psst ceramic;2024-10-02T07:50:35;2024-10-02T18:51:56;12750;23185;2024-10-03T01:22:47;28658;recede;frequent;25099;astride apropos unique;proselytise cultivated phooey;ha bah;20726;7893.43;25870.27;8026.73;impish preregister volunteer;16857;2024-10-02T20:14:44;23288.61;16781.6;false;1580;offensively;greedily vice huzzah;15053;crossly hydrolyze huzzah;18118.08;22511;worth dreamily spotless;gee wherever;naturally ride;energetically athwart;false;24434;14205.67;29714.3;true;8791.92;18567.56;20334;false;2024-10-02T18:11:58;18145;false;failing youthfully heartache;8653.05;20633.66;meanwhile frightfully
9;drat pace until;2024-10-02T23:23:02;2024-10-02T15:06:45;13001;13963;2024-10-03T06:40:20;30204;save mash;likewise solemnly gorgeous;600;despite;nifty merge quarrelsomely;limping ick comb;3601.53;15314.13;23729.54;4035.13;valiantly;26758;2024-10-02T18:19:31;31438.6;22248.29;true;19048;detain whoa flowery;management and perfectly;32729;past guest;21171.78;3405;mortally ack skeleton;yippee yesterday;yippee settler redraw;cultivated;true;1395;4450.42;7884.96;true;12907.44;8067.05;10418;false;2024-10-02T17:16:42;9843;true;geez;30498.89;15966.35;adventurously
10;lonely beyond or;2024-10-02T07:45:46;2024-10-03T02:36:39;11283;21060;2024-10-02T21:36:45;32428;reproachfully;furthermore;5917;whether;inasmuch gah nifty;substantial scowl because;5073.51;9440.18;3953.26;5258.87;drat;1693;2024-10-02T12:55:53;605.42;10957.59;true;9135;those besides floodlight;circumnavigate atop kissingly;12831;yippee unlike translation;20028.12;10394;eyeglasses stiffen unless;phew rectangular;typify where sans;how;true;7716;20294.81;21927.97;true;21785.98;559.8;4645;true;2024-10-02T13:10:24;15072;true;hm slake after;24087.65;28930.06;bogus
