id;line_id;payment_amount;total_voucher_amount;checkque_amount;checkque_no;checkque_date;checkque_expire_date;bank_name;bank_id;credit_card_no;credit_card_amount;reference;other_details;lmu;lmd;term_id;term_name;account_no;account_number;account_id;account_code;cheque_status_id;is_deposit;deposited_date;company_bank_id;is_bank_reconciliation
1;29925;5644.42;7354;4522.28;impact jeopardise;2025-02-10T11:05:21;2025-02-10T23:30:49;who ew;3863;best-seller;23571.77;thoroughly tenant pike;naturally populist while;phooey daily weekly;2025-02-10T10:02:01;22971;describe papa;15574;9600;21575;ornate;30445;true;2025-02-10T09:12:30;24807;false
2;2864;5501.65;8989.85;6515.53;although excepting;2025-02-10T13:06:56;2025-02-10T11:18:27;sans;7731;ugh;5305.62;stupendous;spiteful seafood;pleasant;2025-02-10T16:46:33;10794;sarong polished;617;22153;17345;victorious emotional;24907;false;2025-02-10T17:51:56;30759;false
3;5663;25524.38;31919.2;2569.17;likewise muted crank;2025-02-10T16:14:16;2025-02-11T04:04:16;how excepting;9204;edge misspend;18010.06;including bran;equate merit institutionalize;inborn analogy plus;2025-02-11T01:19:32;18994;far;4341;26017;1797;until oh;2555;true;2025-02-10T16:50:28;30225;false
4;31938;22680.88;8006.98;10826.28;plan correctly soon;2025-02-10T22:58:42;2025-02-11T04:03:13;broadly with;2513;weekly;3791.91;rightfully settle apud;rigidly weep;phooey ouch;2025-02-10T13:58:29;3449;stay;7820;12195;27821;long reel creak;25642;true;2025-02-10T15:22:15;29804;false
5;5533;13474.37;10888.53;18644.72;friendly;2025-02-10T05:47:05;2025-02-10T12:26:21;christen ew;31849;yuck finally;19317.19;behold drat;limping instruction;finally on woot;2025-02-10T10:49:38;21926;royal tune-up off;29065;12054;5324;likewise blah homely;25355;false;2025-02-10T12:22:15;31673;false
6;1128;7221.65;3424.12;21148.35;after vista far;2025-02-10T20:44:40;2025-02-10T12:15:27;pants above;28278;innocently;28276.48;tenement kissingly which;versus frozen unkempt;vacantly under ew;2025-02-10T11:07:27;382;geez ew finally;26227;25067;27632;drat fussy kookily;1036;true;2025-02-10T09:35:13;16970;false
7;12513;16662.16;9184.98;12200.38;inwardly relieve though;2025-02-10T19:29:06;2025-02-11T01:51:55;including however transcend;30319;unless overconfidently;6350.59;which an legitimize;hmph;cautiously;2025-02-10T14:05:47;15132;pupil;13816;23783;25459;slink up yippee;12289;false;2025-02-10T14:30:17;11086;false
8;13913;13888.37;9447.8;18372.97;surprisingly;2025-02-11T03:43:51;2025-02-11T04:10:56;able;24583;brightly after notwithstanding;8672.8;knavishly;kooky poorly motivate;carefree psst knavishly;2025-02-10T10:40:15;25211;designation slope;7760;2667;25162;absent median under;9934;true;2025-02-10T14:22:20;19002;false
9;17357;2786.67;25650.43;16587.84;slap justly productive;2025-02-10T16:58:26;2025-02-10T11:23:04;blissfully;20418;indeed majestically;16842.5;dissemble lift;meh;lest;2025-02-10T21:50:01;15756;red ha;822;1714;4787;headline swiftly;27105;false;2025-02-11T00:40:06;27948;true
10;28151;8291.28;5540.11;13945.11;disgorge especially;2025-02-10T13:15:07;2025-02-10T19:33:48;over;6063;freely drat;28922.32;ultimately junior wicked;crossly;energetically;2025-02-10T20:48:52;25440;behest lawful;20896;14308;5567;growing drat;3462;false;2025-02-11T04:32:35;20978;false
